RouteName,StopName,Directions,Latitude,Longitude,,,
OldArmy,MSC,Outbound,30.613414,-96.341585,,,
OldArmy,Fish Pond Outbound,Outbound,30.616392,-96.343176,,,
OldArmy,College Main Parking Garage - Outbound,Outbound,30.620001,-96.347231,,,
OldArmy,Spruce Street - Outbound,Outbound,30.621971,-96.349312,,,
OldArmy,College Main @ Clay - Outbound,Outbound,30.624856,-96.352483,,,
OldArmy,Old College,Outbound,30.626152,-96.355859,,,
OldArmy,Wellborn 1,Outbound,30.627276,-96.358709,,,
OldArmy,Wellborn 2,Outbound,30.628453,-96.359795,,,
OldArmy,Wellborn @ Tee,Outbound,30.632934,-96.363889,,,
OldArmy,Villa Maria @ Green Street,Outbound,30.638156,-96.361524,,,
OldArmy,Villa Maria @ Green Street,Inbound,30.638156,-96.361524,,,
OldArmy,College Ave @ Sulphur Springs,Inbound,30.637918,-96.356991,,,
OldArmy,Old College @ Howdy Court,Inbound,30.633685,-96.35433,,,
OldArmy,Old College @ Borderbrook,Inbound,30.63093,-96.354599,,,
OldArmy,Old College @ Clay - Inbound,Inbound,30.624827,-96.352518,,,
OldArmy,Spruce Street - Inbound,Inbound,30.62195,-96.349343,,,
OldArmy,College Main Parking Garage - Inbound,Inbound,30.619574,-96.346845,,,
OldArmy,Fish Pond,Inbound,30.616411,-96.343618,,,
OldArmy,MSC,Inbound,30.613414,-96.341585,,,
